Testanteil,k,Accuracy
0.1,1,0.6312
0.1,3,0.672
0.1,5,0.7002
0.1,7,0.7155
0.1,9,0.7279
0.1,11,0.7355
0.1,13,0.7399
0.1,15,0.7421
0.1,17,0.7473
0.1,19,0.748
0.1,21,0.7488
0.3,1,0.6275666666666667
0.3,3,0.6704
0.3,5,0.6992666666666667
0.3,7,0.7153
0.3,9,0.7256333333333334
0.3,11,0.7332666666666666
0.3,13,0.7394333333333334
0.3,15,0.7420666666666667
0.3,17,0.7455
0.3,19,0.7473333333333333
0.3,21,0.7482333333333333
0.5,1,0.62486
0.5,3,0.67178
0.5,5,0.69978
0.5,7,0.71516
0.5,9,0.7261
0.5,11,0.73324
0.5,13,0.7388
0.5,15,0.74282
0.5,17,0.7454
0.5,19,0.74734
0.5,21,0.74866
0.7,1,0.6250857142857142
0.7,3,0.6749
0.7,5,0.6998285714285715
0.7,7,0.7168285714285715
0.7,9,0.7298857142857142
0.7,11,0.7363714285714286
0.7,13,0.7403142857142857
0.7,15,0.7436
0.7,17,0.7455857142857143
0.7,19,0.7476428571428572
0.7,21,0.7486857142857143
0.9,1,0.6282666666666666
0.9,3,0.6740666666666667
0.9,5,0.7023444444444444
0.9,7,0.7173111111111111
0.9,9,0.7289444444444444
0.9,11,0.7363555555555555
0.9,13,0.7406444444444444
0.9,15,0.7434555555555555
0.9,17,0.7460666666666667
0.9,19,0.7478888888888889
0.9,21,0.7492666666666666
